ID	longitude	latitude	nameTag	language	translation	translationCount	transliteration	transliterationCount	
17327106	77.5858225	12.9171587	Aurobindo Circle						
17327417	77.5860665	13.1023158	Escorts Yalahanka Road						
26609019	77.6676206	12.9507578	HAL Airport						
60952254	77.6047644	12.970884	Prof Ashirvadam Junction						
60952260	77.6067808	12.9662182	Shoolay Circle						
62053599	77.5079385	12.972353	Papareddy Palya						
62053620	77.5094207	12.9751302	Aladamara						
62053636	77.5106479	12.9795534	Nagarabhavi BDA Complex						
62053719	77.5078547	12.9720535	PAPAREDDY PALYA						
62053750	77.5096112	12.9753458	Aladamara						
62053772	77.5107462	12.9796295	Nagarabhavi BDA Complex						
62056921	77.5091394	12.9697447	Nagarabhavi 9th Block						
62056953	77.5099558	12.9610069	NGF Layout						
62056965	77.5074848	12.9606988	Vinayaka Layout Bus Stop						
62056980	77.5049346	12.9603738	Ambedkar College						
66626034	77.503049	12.9572067	Mallathalli Cross						
66626048	77.4998851	12.9523105	University Quarters						
66626086	77.4956471	12.9454768	Mariyappana Palya						
66626102	77.4935257	12.9416158	Kenchapura Cross						
66626164	77.4879495	12.9325662	Shirke KHB Quarters						
66666495	77.4804898	12.9118401	Ganesha Temple						
66666554	77.4740266	12.9069538	BMTC Depot-12 Gate						
66676907	77.4370487	12.8669474	Swaminarayana Gurukul						
66677026	77.4124657	12.8298636	Veeranjaneya Temple						
66677040	77.4108796	12.8226828	Lakshmisagar Gate						
66677130	77.390939	12.79973	Railway Station 						
158687972	77.5850637	12.9540895	H Siddiah Circle						
176470763	77.5497906	12.938019	Seeta Circle						
245612139	77.7861352	12.8600866	Sarjapura						
246171013	77.585242	12.9638455	Townhall Junction						
246397026	77.5980486	12.9938531	Bangalore Cantonment						
246397920	77.5939471	12.9721589	Siddalingaiah Circle						
247852915	77.5950684	12.8765792	Hulimavu Police Station Cross						
247964328	77.6008383	12.8980535	IIMB post office - Bilekahalli						
247964964	77.6019489	12.8954065	State Bank of Mysore IIMB Branch						
247964989	77.6046452	12.8949994	IIMB Basket Ball Ground						
247973288	77.6010688	12.8984603	Snack Corner						
247974102	77.6025681	12.894213	Athicas Canteen						
247974238	77.6024475	12.8944356	Chai-Unchai						
247984992	77.5985137	12.8922129	Adigas						
247986013	77.6022591	12.8951166	Open Air Theatre						
247991562	77.6045397	12.9523885	Anepalya						
248128247	77.6047975	12.9563028	Haydon Manor						
248455433	77.5967637	12.9648368	Richmond Circle						
248455441	77.5948613	12.9624263	St Josephs Junction						
